step	Train loss
0	0.4032747372984887
1	0.18071551024913787
2	0.1484757788479328
3	0.14803388454020022
4	0.1432393617928028
5	0.13837758414447307
6	0.12356535904109477
7	0.1450489681214094
8	0.13239216953516006
9	0.13015303537249567
10	0.14508794285357002
11	0.15322055853903296
12	0.14355914331972597
13	0.15051472857594492
14	0.1230029471218586
15	0.12534895017743108
16	0.11810622178018092
17	0.15841194577515125
18	0.12396453432738781
19	0.14380024708807473
20	0.1154243975877762
21	0.12214849479496478
22	0.13297159336507322
23	0.14173801131546498
24	0.1352836437523365
25	0.1196260716766119
26	0.13530013151466846
27	0.11758101359009744
28	0.14100211672484875
29	0.12616703771054744
