,id,BurnDate,BurnYear,fireRisk,x,y,risk,date,clusters,start_date,end_date,duration,img_id,areakm2_BA,nbr__p25_variance_p25,nbr__p25_variance_p5,nbr__p25_variance_p50,nbr__p25_variance_p75,nbr__p25_variance_p95,nbr__p25_variance_p99,nbr__p50_variance_p25,nbr__p50_variance_p5,nbr__p50_variance_p50,nbr__p50_variance_p75,nbr__p50_variance_p95,nbr__p50_variance_p99,nbr__p5_variance_p25,nbr__p5_variance_p5,nbr__p5_variance_p50,nbr__p5_variance_p75,nbr__p5_variance_p95,nbr__p5_variance_p99,nbr__p75_variance_p25,nbr__p75_variance_p5,nbr__p75_variance_p50,nbr__p75_variance_p75,nbr__p75_variance_p95,nbr__p75_variance_p99,nbr__p95_variance_p25,nbr__p95_variance_p5,nbr__p95_variance_p50,nbr__p95_variance_p75,nbr__p95_variance_p95,nbr__p95_variance_p99,nbr__p99_variance_p25,nbr__p99_variance_p5,nbr__p99_variance_p50,nbr__p99_variance_p75,nbr__p99_variance_p95,nbr__p99_variance_p99,25_variance_p25,25_variance_p5,25_variance_p50,25_variance_p75,25_variance_p95,25_variance_p99,50_variance_p25,50_variance_p5,50_variance_p50,50_variance_p75,50_variance_p95,50_variance_p99,5_variance_p25,5_variance_p5,5_variance_p50,5_variance_p75,5_variance_p95,5_variance_p99,75_variance_p25,75_variance_p5,75_variance_p50,75_variance_p75,75_variance_p95,75_variance_p99,95_variance_p25,95_variance_p5,95_variance_p50,95_variance_p75,95_variance_p95,95_variance_p99,99_variance_p25,99_variance_p5,99_variance_p50,99_variance_p75,99_variance_p95,99_variance_p99
502481.0,502481.0,224,2020,7692.0,28.51814079284668,-31.062620162963867,Extreme,2020-08-11,115,2020-08-02,2020-08-13,12,LC08_169081_20200805,568.2305363863085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0016678340804354539,0.0016678340804354539,0.0016678340804354539,0.0095404411085488,0.09960965414604084,0.18552923147131065,0.0008841605587669609,0.0008841605587669609,0.0027622116300566827,0.004762657117723303,0.09081611659075717,0.16697874231969642,0.0016756855221437736,0.0016756855221437736,0.0016756855221437736,0.009536198077844525,0.09960316033313665,0.18552746627092098,0.0012401984119462795,0.0012401984119462795,0.0012401984119462795,0.0054824702302789146,0.09569595621180889,0.1698885655067354,0.0008191601850954433,0.0008191601850954433,0.0008191601850954433,0.0067573367505867265,0.09863059132682729,0.1689446540657088,0.0008191626929369786,0.0008191626929369786,0.0008191626929369786,0.006757331118431969,0.09863057530940453,0.1689445090695234
828478.0,828478.0,231,2020,7692.0,29.643281936645508,-31.0064754486084,Extreme,2020-08-18,132,2020-08-02,2020-08-23,22,LC08_168081_20200814,577.5912380790093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006789099587948568,0.0010329763155691289,0.03612645031184588,0.10058233561150212,0.1982307872119982,0.2587877439700718,0.00678201481349173,0.0010711296316295539,0.03808083993078309,0.1005864833652108,0.18261148517541617,0.23144739693383742,0.006790289972550684,0.001027412824628954,0.03612730761063706,0.10058312551469817,0.20018654225905397,0.2607329723620033,0.006781470148073647,0.0011042262944521192,0.047843906187167336,0.14160105214568383,0.21581806308158646,0.26268333200821126,0.006781886857760256,0.0011207710627435885,0.04784082890169623,0.1494171632499401,0.2236223494630265,0.2705052769661839,0.006781886857760256,0.0011207710627435885,0.04784079250737401,0.1494171718125425,0.2236223983607365,0.2705052769661839
768963.0,768963.0,238,2020,7692.0,29.710655212402344,-31.224315643310547,Extreme,2020-08-25,142,2020-08-18,2020-08-31,14,LC08_168082_20200830,397.0199636252439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002809044868505143,0.0009983188897968844,0.010714396453847131,0.040035253019972766,0.1083922787856284,0.17677031991684167,0.000882579290787909,0.000882579290787909,0.006769251469709887,0.045893086270161004,0.12401359695026659,0.17870091424411017,0.002811210478997675,0.001007379195544262,0.010715523338841817,0.0380782997219814,0.10643644433312321,0.17676052711695833,0.0008380820076871701,0.0008380820076871701,0.006777463441629489,0.08105509208629141,0.2021423095891281,0.26659945479365416,0.0012285657424874609,0.0012285657424874609,0.00555979395358499,0.09179741464501795,0.2323956217780737,0.30660990002122873,0.00122857673455294,0.00122857673455294,0.005559800528897578,0.09179735351569886,0.2323956217780737,0.30660990002122873
27512.0,27512.0,231,2020,2903.0,26.70578956604004,-30.7235050201416,Medium,2020-08-18,159,2020-08-11,2020-08-21,11,LC08_170081_20200812,150.8337774875916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009246619321873166,0.0009246619321873166,0.0009246619321873166,0.00961665366259618,0.04095559490409839,0.07609013277237922,0.0007573457598332794,0.0007573457598332794,0.0007573457598332794,0.0056991202559142085,0.029193760119221465,0.048715996834922524,0.0009381827824033177,0.0009381827824033177,0.0009381827824033177,0.009617138072655596,0.04095545659708859,0.07608972918138272,0.0007691148832373263,0.0007691148832373263,0.0007691148832373263,0.005694588836852755,0.025293857690310447,0.04479461602242785,0.0007706927141123786,0.0007706927141123786,0.0007706927141123786,0.00569586882079087,0.025294318636075026,0.044790513955158616,0.0007706997945481746,0.0007706997945481746,0.0007706997945481746,0.005695867205131422,0.025294318636075026,0.044790513955158616
623977.0,623977.0,215,2020,7692.0,29.60285758972168,-29.77578353881836,Extreme,2020-08-02,308,2020-08-01,2020-08-27,27,LC08_169080_20200805,1.3662827845435057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00044066236060698517,0.00044066236060698517,0.00242050059680972,0.005353433141854026,0.037608072526844644,0.06981840116008897,0.00045359507300115265,0.00045359507300115265,0.0014199309947470218,0.005363683087304898,0.018935807860707587,0.053286057930720915,0.00044395749316564545,0.00044395749316564545,0.002415818374046737,0.006306129465039508,0.03751727702421693,0.06984321988901601,0.00048470742951110373,0.00048470742951110373,0.001397646636479475,0.004371961448349513,0.028723064205524458,0.06091264564595157,0.00048315727729932565,0.00048315727729932565,0.001394688064925874,0.004379997725727154,0.02977432483380332,0.06104940397225281,0.00048316186673321327,0.00048316186673321327,0.001394688064925874,0.004379997725727154,0.02977432483380332,0.06104940397225281
814517.0,814517.0,217,2020,7692.0,30.50117301940918,-29.654510498046875,Extreme,2020-08-04,324,2020-08-04,2020-08-24,21,LC08_168080_20200814,964.0949306271198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0009194780572443163,0.0009194780572443163,0.004784422009321035,0.0263669449974411,0.0810384703338312,0.1787112319445446,0.0009441736907378159,0.0009441736907378159,0.004781600429405624,0.0244059390543743,0.09667780956798816,0.15917286006245418,0.0009173020228069459,0.0009173020228069459,0.004784712811224821,0.026367297925431896,0.08104308542805067,0.17871143564107048,0.0009814987643496779,0.0009814987643496779,0.004783963036507402,0.03026297903526094,0.1806715599344661,0.2392452313761831,0.000992189938234463,0.000992189938234463,0.004784195574699764,0.030263108056895742,0.19238931958362576,0.24901754555730024,0.0009921931197774906,0.0009921931197774906,0.004784201152844325,0.030263108387333596,0.19238941500735132,0.24901754555730024
360100.0,360100.0,236,2020,7805.0,25.888322830200195,-29.30641365051269,High,2020-08-23,353,2020-08-16,2020-08-23,8,LC08_171080_20200819,11.919022609375002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00047308169594464033,0.00047308169594464033,0.00047308169594464033,0.00047308169594464033,0.009578808419969756,0.017304308384510504,0.0003787388724014937,0.0003787388724014937,0.0003787388724014937,0.0003787388724014937,0.005559734255423244,0.017361501071026596,0.0004792019727203536,0.0004792019727203536,0.0004792019727203536,0.0004792019727203536,0.009578603629628408,0.01729754003238558,0.00039326003243854104,0.00039326003243854104,0.00039326003243854104,0.00039326003243854104,0.005545956913943552,0.017370059857656293,0.00039575457691519016,0.00039575457691519016,0.00039575457691519016,0.00039575457691519016,0.005544006015421152,0.017372091563425403,0.00039575859305952734,0.00039575859305952734,0.00039575859305952734,0.00039575859305952734,0.005544024342474884,0.017372091563425403
45802.0,45802.0,236,2020,7805.0,26.813589096069336,-29.53323745727539,High,2020-08-23,355,2020-08-23,2020-08-31,9,LC08_170080_20200828,42.22680609578735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005899263165264089,0.0005899263165264089,0.0005899263165264089,0.0047977005261842665,0.04003077750141263,0.07517569956228086,0.0004818486801215915,0.0004818486801215915,0.0004818486801215915,0.0027901084383491984,0.022431426748660326,0.04588980037615275,0.0006010891235757968,0.0006010891235757968,0.0006010891235757968,0.0047977878934719435,0.04002882211443776,0.07517651343440736,0.000703800232528878,0.000703800232528878,0.000703800232528878,0.000703800232528878,0.02137183039156133,0.044856736152470524,0.0007039540927448981,0.0007039540927448981,0.0007039540927448981,0.0007039540927448981,0.021372620960278425,0.04486005352596854,0.0007039571987444467,0.0007039571987444467,0.0007039571987444467,0.0007039571987444467,0.02137266043290523,0.04486012943718567
229900.0,229900.0,219,2020,7805.0,26.611467361450195,-29.53099250793457,High,2020-08-06,356,2020-08-02,2020-08-07,6,LC08_171080_20200803,12.30914174999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0004733333475003479,0.0004733333475003479,0.0004733333475003479,0.0004733333475003479,0.008741506691369154,0.016537116547164468,0.00041071355157784904,0.00041071355157784904,0.00041071355157784904,0.00041071355157784904,0.002640504647297018,0.008718516308997292,0.0004777014622200941,0.0004777014622200941,0.0004777014622200941,0.0004777014622200941,0.008742501988328946,0.018478905775104117,0.0003902778042185011,0.0003902778042185011,0.0003902778042185011,0.0003902778042185011,0.002629652881773226,0.010675561717579982,0.0003942323381487041,0.0003942323381487041,0.0003942323381487041,0.0003942323381487041,0.002629856570351435,0.01067772347486712,0.00039423310821306364,0.00039423310821306364,0.00039423310821306364,0.00039423310821306364,0.0026298669203835387,0.01067763998492522
638980.0,638980.0,226,2020,7692.0,27.04265785217285,-29.203107833862305,Extreme,2020-08-13,361,2020-08-11,2020-08-16,6,LC08_170080_20200812,58.77390898523313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000642633238267524,0.000642633238267524,0.000642633238267524,0.0027825658491241324,0.02243415598138823,0.057620575007527965,0.0005206984511710682,0.0005206984511710682,0.0005206984511710682,0.002794255248755981,0.01657451317145636,0.03805802636725575,0.0006505691365950038,0.0006505691365950038,0.0006505691365950038,0.0027817306036988627,0.02243221637305544,0.057618756378955686,0.0005182026891833878,0.0005182026891833878,0.0005182026891833878,0.0027951889303903742,0.016559068163551665,0.038065338010432555,0.0005189536751822019,0.0005189536751822019,0.0005189536751822019,0.0027954871389033317,0.016560162895652993,0.03806545597309323,0.0005189567705389669,0.0005189567705389669,0.0005189567705389669,0.0027954911301589095,0.016560162895652993,0.03806545597309323
