,img_id,areakm2_BA,nbr_p25_variance_p25,nbr_p25_variance_p5,nbr_p25_variance_p50,nbr_p25_variance_p75,nbr_p25_variance_p95,nbr_p25_variance_p99,nbr_p50_variance_p25,nbr_p50_variance_p5,nbr_p50_variance_p50,nbr_p50_variance_p75,nbr_p50_variance_p95,nbr_p50_variance_p99,nbr_p5_variance_p25,nbr_p5_variance_p5,nbr_p5_variance_p50,nbr_p5_variance_p75,nbr_p5_variance_p95,nbr_p5_variance_p99,nbr_p75_variance_p25,nbr_p75_variance_p5,nbr_p75_variance_p50,nbr_p75_variance_p75,nbr_p75_variance_p95,nbr_p75_variance_p99,nbr_p95_variance_p25,nbr_p95_variance_p5,nbr_p95_variance_p50,nbr_p95_variance_p75,nbr_p95_variance_p95,nbr_p95_variance_p99,nbr_p99_variance_p25,nbr_p99_variance_p5,nbr_p99_variance_p50,nbr_p99_variance_p75,nbr_p99_variance_p95,nbr_p99_variance_p99
0,LC08_167079_20200807,0.0,0.008748367822258803,0.0011231302415226588,0.034159046185889864,0.14355540662342728,0.2646449029999061,0.31723083268071306,0.0028176697726665497,0.0011614531097475652,0.024380589431698428,0.12014139210654684,0.21774844629988827,0.2726331927756149,0.00875100216326273,0.0011147933269966435,0.03612425053795018,0.14354676201323024,0.2646067277408375,0.3172503215837389,0.004790605942788532,0.0011650616432703296,0.026301382481470063,0.14352954858180036,0.24117271456049938,0.282266344337327,0.004791152508973032,0.001167660651808088,0.02629120904597006,0.14353341139873851,0.2411780139945974,0.2822309080837752,0.004790584122063262,0.0011678639925215364,0.02629562166490788,0.14353341139873851,0.2411780139945974,0.2822309080837752
1,LC08_167079_20200823,0.0,0.008784070934254366,0.002905391086692222,0.020471357876987294,0.05374713098612263,0.15320921584424252,0.22360070035825236,0.004808307727766625,0.0012206583331135618,0.012664387915929397,0.07520446586020213,0.1513238977096039,0.20230158031527623,0.010719057037061386,0.0029083718184482136,0.020460866622874538,0.05178401193568026,0.15324507408952986,0.22360070035825236,0.004807950631769705,0.0011706011027242571,0.0224565518313471,0.14353396952637823,0.2118689720782195,0.2490326930257443,0.004814602993419955,0.0011733872802303115,0.022454960990701288,0.15335333656991723,0.2157186497483512,0.2490184793818439,0.0048133755313237705,0.001172919313889477,0.02245462677911798,0.15335333656991723,0.2157186497483512,0.2490184793818439
2,LC08_167080_20200807,0.0,0.008795747945852169,0.0009658472861957122,0.07123902908591262,0.15326978512170011,0.2216788749487003,0.2645905710522301,0.004803152344804793,0.0010833631565790606,0.07909842186977764,0.12207357913416739,0.18258755855654168,0.22165868408851114,0.008796476992654132,0.0009584043441345537,0.07128680888957174,0.15329958696086443,0.22166410481591875,0.2645905710522301,0.016570737167400304,0.0012023109635976568,0.10058884774998264,0.15140221755295766,0.21973130878895,0.2744618726356446,0.016584177100791495,0.0012137716867083137,0.10447854352598077,0.1552771210901451,0.22351177069622055,0.2743989116119101,0.016584911017457588,0.0012133967578399445,0.10447854352598077,0.15527970604686575,0.22351177069622055,0.2743989116119101
3,LC08_167080_20200823,0.0,0.010748133787879963,0.002876881913863614,0.024354486878282594,0.07910498154147531,0.14747488592772626,0.19028170297855793,0.006807555838029892,0.0012415863827353085,0.02835139519116707,0.09472915650545453,0.15133639833408163,0.1921675041165398,0.010725655283475967,0.00288496481385089,0.02437213319474544,0.0771381867906662,0.1474672920241042,0.1902559658177041,0.016495172913176617,0.0012761651258107966,0.09080117555004329,0.1377541556413885,0.1922702282215623,0.24136979616258006,0.01651640467021168,0.0012771844232741557,0.09667947795054609,0.14351880642382,0.19624423915609576,0.24315432332050457,0.01651468514606066,0.0012776026055351872,0.09667947795054609,0.143516683878145,0.19624423915609576,0.24315432332050457
4,LC08_167081_20200807,0.0,0.03417934480014137,0.01271302145816828,0.10843597604525955,0.15720640826347962,0.20801940233115807,0.2431899593827031,0.05759728258857403,0.016623742172941335,0.1005996067770974,0.13572187657157642,0.184565889842015,0.21367774981576523,0.03223899450685099,0.010759875295937232,0.10640177276864847,0.15719816410390947,0.2079787756557209,0.24310964402856292,0.11033427299606603,0.03600587416043639,0.14160618808106423,0.1728361899711666,0.22159799876268418,0.2566926977888649,0.11427266928143566,0.036014959194893,0.14353434069188806,0.17479882949927542,0.22357717877579703,0.2586897314174842,0.11427258578782339,0.038042189710767255,0.1435354416140901,0.17480110585582068,0.22357829542581376,0.2586897314174842
5,LC08_168076_20200814,0.0,0.0005192424412507738,0.0005192424412507738,0.0014057228044219974,0.003361331337836527,0.01803740129083893,0.03175625785670088,0.0005423988959464626,0.0005423988959464626,0.001411816122501806,0.003354070937151105,0.019035308896409014,0.03268080618350315,0.0005182346302946482,0.0005182346302946482,0.0014041374712196865,0.0033625328521848723,0.018016171468660403,0.031740951999874624,0.0005721003376887455,0.0005721003376887455,0.0014248769753106038,0.003360765998453179,0.019028238011724617,0.03272966263352406,0.0005774141672132176,0.0005774141672132176,0.0014261366008877716,0.0033564287868958678,0.019026435576909573,0.0327420274556053,0.0005774104991356915,0.0005774104991356915,0.0014260383381199957,0.0033564287868958678,0.019026435576909573,0.0327420274556053
6,LC08_168076_20200830,0.0,0.0014769519672063194,0.0007353033067592137,0.00240561442307176,0.004351683451028998,0.0219852452279756,0.03464185548794765,0.0014687148552575305,0.0007346718598749439,0.002393992403532835,0.0033653781234994733,0.007311667862335366,0.010217744394108826,0.0014795558711677098,0.0007381147106232395,0.0024075286223942706,0.004353604046401175,0.0219768061672034,0.0346462926676148,0.001436888936754547,0.0006874103521062607,0.001436888936754547,0.0023786213405853833,0.005317100137556388,0.00727338443164623,0.0014364381020506238,0.0006848193745341821,0.0014364381020506238,0.0023784571017613034,0.005315700092574548,0.007273291732581962,0.0014364381020506238,0.0006848193745341821,0.0014364381020506238,0.0023784571017613034,0.005315700092574548,0.007273291732581962
7,LC08_168077_20200814,0.0,0.0014356730922027664,0.0005320393171437671,0.0024101901091498667,0.0053556243181082245,0.020003018207507488,0.03271872939994772,0.0014432855372195237,0.0005270691276215051,0.0024073427909405113,0.005349013584731572,0.021000310626835373,0.0336344723294673,0.0014354869659250788,0.0005317288467864302,0.0024096632946966697,0.0053579497787522926,0.0200095045042147,0.03269755605190782,0.0014481505987672975,0.0005314150657293596,0.0024048753771948586,0.006336414293320037,0.02198337364186468,0.034691612427296126,0.0014481586730261866,0.0005342952561718243,0.002406238700609807,0.0063338722123930215,0.021982121850203696,0.03464731921682466,0.001448124733823116,0.0005342830494470527,0.002406249710324453,0.006333536750752391,0.02198225518667977,0.03464731921682466
8,LC08_168078_20200814,0.0,0.0017039380436166581,0.0007505491594234601,0.0036517086062908244,0.011477749343185045,0.029038741087330656,0.04226106831040909,0.001702725907190516,0.0007527578214551846,0.003658179053411194,0.011479326656589498,0.029534109255209894,0.04273222039977024,0.001704090445435288,0.0007497911419281532,0.003653420070756219,0.011477013706044845,0.029047034994004066,0.04178603988826847,0.0014522550505573074,0.0006153541100435696,0.004373659069337735,0.012191447930311948,0.030745509393194193,0.04437474993438159,0.0024190966551785016,0.0006213037727030965,0.004372541822118047,0.012193504892326373,0.03075859541256338,0.04445051472461372,0.002419310703133009,0.0006212685218958182,0.0043726438342404205,0.012193655652131987,0.03075859541256338,0.04445051472461372
9,LC08_168079_20200814,0.0,0.0007237801092694414,0.00032923031442615505,0.0016966276420556218,0.0036563540963992303,0.014897066455682275,0.028571352920612234,0.000727065099833425,0.0003221507402904032,0.0016963747125963457,0.0036508012392738446,0.012430856976790283,0.0260992580564428,0.0007234989011791928,0.00033025869181582863,0.0016959009046057627,0.0036523233825875687,0.014907555611550672,0.02907487808887849,0.0007274464848590634,0.00034025391950183025,0.0016987643592627098,0.004137840920292878,0.013936264125301861,0.028078838589666925,0.0007281326803898766,0.0003441253713033401,0.002188226206715678,0.004135686684637457,0.01392667893021439,0.02807720455791514,0.0007281074455775719,0.00034413102065560203,0.002188163793132209,0.004135457162865904,0.01392667893021439,0.02807720455791514
10,LC08_168080_20200814,0.0,0.0012101836347574845,0.0003387644166847175,0.0021921574059911506,0.006593168744586027,0.03345378235719036,0.047633755326696746,0.0012125030596765796,0.00034050930533526696,0.002680639878135137,0.006589590384354914,0.027152813706544796,0.04320516122074283,0.0012092888787179844,0.00033840332370207077,0.0021922010517323293,0.0065930840535908895,0.03296457625693769,0.04806845635946353,0.001431341326988206,0.0006113256323227978,0.002407989198785771,0.00730013438661972,0.045438920446463096,0.14123920511362806,0.0010207687670702704,0.0010207687670702704,0.0028094481831710885,0.006766463532762963,0.04968638204282235,0.15140895981158606,0.001020716314745699,0.001020716314745699,0.002809542854795503,0.0067673356562934555,0.049668385813969866,0.15140895981158606
11,LC08_168081_20200814,0.0,0.0024219629325476022,0.0006375142796077812,0.008277912235529167,0.032731128786709786,0.08653558206773687,0.1655397721967929,0.002418258986883014,0.0006546866964610627,0.008290397612335514,0.03368284376728446,0.09420723057598182,0.14494442015524522,0.002418920569296172,0.0006327303166369054,0.008281209900208523,0.033673295631860126,0.08652101900304343,0.1655397721967929,0.0028274872123277926,0.0011906479193244202,0.008724089343522269,0.0439075542963799,0.1846516980104544,0.23137553924362714,0.002827611383530253,0.0012100170292285066,0.008719956106233103,0.04591317581485303,0.19822254771340977,0.23918836980917968,0.002827611383530253,0.0012100170292285066,0.008719956106233103,0.04769763417720439,0.19822506972948584,0.23918836980917968
12,LC08_168082_20200814,0.0,0.018509584887138733,0.0028882653452296726,0.06347591177452165,0.12007781130091338,0.19827926299654175,0.25481689119132267,0.016616305578376532,0.002885152658854819,0.06548475055726076,0.11228812435202996,0.1845094867702091,0.2293480651289404,0.01853089258632564,0.00288663758461915,0.06156151677150977,0.11814505491646678,0.20020754873219845,0.2569675797774115,0.01660037991294007,0.002869761618614604,0.08304942112973122,0.1455058382258763,0.20406324361131498,0.24700523209842304,0.01659752821061411,0.002869577237808252,0.08886231281169865,0.1532935349670333,0.21386912218631907,0.2549048642530886,0.01659752821061411,0.002869577237808252,0.08886231281169865,0.1532935349670333,0.21386912218631907,0.2549048642530886
13,LC08_168082_20200830,0.0,0.015151388873007172,0.0024331901531601096,0.035649146824735245,0.060068667042353016,0.11379116781392601,0.15300277842641172,0.018540515877243462,0.0028986082960565846,0.045890016808944535,0.07908676774711443,0.131834880681876,0.16501085995559034,0.015152271577781352,0.0024354721470839754,0.033677796684559384,0.05909002480176467,0.11274963325001798,0.15179897359536404,0.024401966466387735,0.0028854115420666633,0.09479528753029556,0.14548705222630107,0.20995871443253933,0.25888975012824617,0.024399038575168324,0.002892864756012832,0.11231912640333871,0.17286053873730278,0.24312232345053597,0.31747348927888047,0.024399038575168324,0.002892864756012832,0.11231912640333871,0.17286053873730278,0.24312232345053597,0.31747348927888047
14,LC08_169075_20200805,0.0,0.0012086672352158213,0.0003444237848336735,0.0026801389620195516,0.007066600890511056,0.021249395345576523,0.031027112950333398,0.0007302898089657826,0.00034181332434301995,0.001693492643029378,0.0046333331761938415,0.017821864557789207,0.02953912039055082,0.0012087211986790915,0.0003436610049480635,0.0026796092585453356,0.007555583871008141,0.021254575348044015,0.031033617611478638,0.0007282405027564812,0.00032460691261793263,0.0016973855252883907,0.004141493869438238,0.017819879256263885,0.03057760538933418,0.0005865859058701987,0.0005865859058701987,0.00140560027126141,0.004353260781415274,0.018053618604042605,0.030775304341556176,0.0005865357299595573,0.0005865357299595573,0.0014057306312209267,0.004353369987435473,0.018054555919192847,0.030775304341556176
15,LC08_169076_20200805,0.0,0.0007115302506710432,0.0003030011306691306,0.002685984473435708,0.007554940874917206,0.01830680926439151,0.02759163908128587,0.0006039001216954686,0.00016667509410227328,0.0013366776030371943,0.004270031342006243,0.015750380318627202,0.025037929515141603,0.0012032775122535549,0.0003013549927931401,0.0031651754139230028,0.008539769685542358,0.01976036362956806,0.029563877797521624,0.00026764012501300167,0.00026764012501300167,0.0007004408691222058,0.004141869086547946,0.01780783772719224,0.030967842721580482,0.0002696154485939815,0.0002696154485939815,0.0006983403838658461,0.00414146917475732,0.0182977950465912,0.0324189341564336,0.0002696402441453681,0.0002696402441453681,0.0006982092638999735,0.004141702581752198,0.01780429130966866,0.0324189341564336
16,LC08_169076_20200821,0.0,0.0012049504631450488,0.0007334450983512221,0.0031655794521066117,0.00756371960254266,0.019290031513026815,0.030045825235111855,0.0007215287595765284,0.0003376899063082152,0.001693489146257666,0.0036535761548506457,0.011475014424883521,0.022226968255325146,0.0012053085162560644,0.0007343416671442925,0.0036585120429253105,0.009030452517079995,0.020760801504924403,0.031027047733950878,0.0007107262626944989,0.0003432446333289233,0.0012012489914182056,0.0036482770327577216,0.012442920894619946,0.027587278150390585,0.0007099113624775105,0.0003435748878390825,0.0012005226489132834,0.0036481429476899405,0.012434708261030814,0.027612069644763204,0.0007099033579604113,0.0003436955291427777,0.001200613158444589,0.0036480024403583882,0.01243401359287346,0.027612069644763204
17,LC08_169077_20200805,0.0,0.0007025307195797441,0.00029877626178544483,0.001695034591393304,0.005605479573867832,0.018312729965759052,0.03204672403004301,0.0007072525898304664,0.00029597151777167066,0.001200792270288129,0.0031620538324943813,0.01147939580811275,0.022691606711000706,0.0007049837150440203,0.0003004937860035715,0.0021832020187468083,0.007085411434507701,0.021225153876853434,0.03736103894871271,0.0002994144898039403,0.0002994144898039403,0.0012020819159285377,0.0026771905594704932,0.012453815252904161,0.02664995369524146,0.0003009552283014403,0.0003009552283014403,0.0012019829757439874,0.0026755542347438287,0.012450228063592356,0.027080336386730092,0.00030090293823286626,0.00030090293823286626,0.0012018971456032883,0.0026760943752378434,0.012452308604665745,0.027074737094879325
18,LC08_169077_20200821,0.0,0.0004417464723926567,0.0004417464723926567,0.0014153294708098888,0.005349102791894401,0.016087867374524726,0.029753646116227234,0.00043114355419298484,0.00043114355419298484,0.0014060819809617155,0.003378101230466391,0.013180985922390446,0.027709315082655697,0.00045147859636115415,0.00045147859636115415,0.0024103138819890815,0.006330393720399009,0.018049411508069144,0.031736324990924256,0.0002836184797753126,0.0002836184797753126,0.0007027606838775316,0.003161975529225576,0.014878434195801577,0.031011024976708566,0.00028859003695105005,0.00028859003695105005,0.0012013677959949408,0.0031711227399752414,0.014903986485037303,0.032003767299941435,0.0002887054294835491,0.0002887054294835491,0.0012014835780511678,0.0031708493289584337,0.014903986485037303,0.032003767299941435
