,id,BurnDate,BurnYear,fireRisk,x,y,risk,date,clusters,start_date,end_date,duration,img_id,areakm2_BA,nbr_p25_variance_p25,nbr_p25_variance_p5,nbr_p25_variance_p50,nbr_p25_variance_p75,nbr_p25_variance_p95,nbr_p25_variance_p99,nbr_p50_variance_p25,nbr_p50_variance_p5,nbr_p50_variance_p50,nbr_p50_variance_p75,nbr_p50_variance_p95,nbr_p50_variance_p99,nbr_p5_variance_p25,nbr_p5_variance_p5,nbr_p5_variance_p50,nbr_p5_variance_p75,nbr_p5_variance_p95,nbr_p5_variance_p99,nbr_p75_variance_p25,nbr_p75_variance_p5,nbr_p75_variance_p50,nbr_p75_variance_p75,nbr_p75_variance_p95,nbr_p75_variance_p99,nbr_p95_variance_p25,nbr_p95_variance_p5,nbr_p95_variance_p50,nbr_p95_variance_p75,nbr_p95_variance_p95,nbr_p95_variance_p99,nbr_p99_variance_p25,nbr_p99_variance_p5,nbr_p99_variance_p50,nbr_p99_variance_p75,nbr_p99_variance_p95,nbr_p99_variance_p99
337737.0,337737.0,228,2019,7692.0,24.972042083740234,-33.753074645996094,Extreme,2019-08-16,1,2019-08-16,2019-08-23,8,LC08_171083_20190817,26.618397804687646,0.0028461022778451532,0.0010027237288924567,0.010725482293940002,0.02635200596368615,0.0556476183812894,0.09666731510050602,0.0009999069194848097,0.0009999069194848097,0.0028327094131753543,0.008743270252929586,0.0341715643812197,0.08688854038417357,0.002844889476129976,0.0010037376587058958,0.01072554769026852,0.026355259302706175,0.05565172366894467,0.09471682216991188,0.000943653556853736,0.000943653556853736,0.002772801868882879,0.006764590328054159,0.0673958465170771,0.12401136237548917,0.0009459700250763688,0.0009459700250763688,0.0027735443752059078,0.0067641028938772935,0.06739706543549402,0.12401384921381689,0.0009459709543536208,0.0009459709543536208,0.002773549878799584,0.006764104172867972,0.06739706543549402,0.12401384921381689
190894.0,190894.0,223,2019,7805.0,24.29830551147461,-33.97540664672852,High,2019-08-11,3,2019-08-07,2019-08-11,5,LC08_172083_20190808,0.26321958537071083,0.013652705234365518,0.0016507359527975223,0.037079121801161664,0.11914659421456464,0.28318611726384346,0.4355473338786615,0.005707333528539977,0.0017185755805802642,0.02137527746027831,0.13084979709024275,0.2636551433686925,0.43161555044434335,0.013659226456560597,0.0016569069994071357,0.04097563289691758,0.1191473275033363,0.28707621443522474,0.439429221108984,0.0011993552121928766,0.0011993552121928766,0.01751317262369263,0.17382694640672797,0.2909965118324326,0.4433682178155291,0.0012168630712927724,0.0012168630712927724,0.017514565758942204,0.17772977419576766,0.290998759367124,0.4433619015190642,0.0012168545957365873,0.0012168545957365873,0.017514559338658465,0.17772978468983314,0.2909989158164012,0.4433619015190642
443661.0,443661.0,238,2019,7692.0,26.57553482055664,-33.25226211547852,Extreme,2019-08-26,9,2019-08-18,2019-08-28,11,LC08_170083_20190826,22.815063981188658,0.004830471735800758,0.0012095463536738803,0.012667532834777818,0.038075332376904386,0.15330419232958925,0.2392462696057514,0.0029033722655412227,0.0011806147429454807,0.0048170901215309645,0.020484502136122778,0.12792123178105488,0.19826165892055347,0.004829652122935348,0.0012094713016043831,0.01266658855644822,0.03807854034139599,0.1533055634890796,0.23924680588457517,0.001587565948688405,0.001587565948688405,0.0055466593948003415,0.025294604118427003,0.14646581068539377,0.1933140336136164,0.0015869769525664083,0.0015869769525664083,0.005552009505225281,0.02922159515123003,0.1464721267219027,0.18940846307906672,0.0015869921307383704,0.0015869921307383704,0.005552026912576413,0.02922157459626473,0.14647209576975911,0.18940839963895767
733266.0,733266.0,223,2019,7692.0,26.80685043334961,-32.69755172729492,Extreme,2019-08-11,10,2019-08-09,2019-08-16,8,LC08_170083_20190810,8.98123137109375,0.00576343044792675,0.0020745003954400947,0.013545724269636003,0.03705189320762608,0.12300769246862606,0.1933535405091309,0.001735898378065357,0.001735898378065357,0.005680430866872619,0.025306938281907127,0.11129156464462706,0.1581437445573575,0.005767009641687533,0.002087339582602469,0.01354465351139891,0.03705272681653283,0.12301256180460846,0.1933525657926851,0.0016642693579091933,0.0016642693579091933,0.005699984089033349,0.025283721843012946,0.14647473004379868,0.201126185187797,0.001673953463636719,0.001673953463636719,0.005699246270582306,0.0252810811653808,0.15036681423349893,0.21286399481170865,0.0016739583177518684,0.0016739583177518684,0.005699234147393825,0.025281076124631516,0.15036645770280355,0.21286399481170865
362608.0,362608.0,221,2019,7692.0,26.70578956604004,-32.48869323730469,Extreme,2019-08-09,12,2019-08-07,2019-08-16,10,LC08_170082_20190810,52.44497549999996,0.0015584116065522464,0.0015584116065522464,0.009643818492054082,0.025337895689390537,0.10349888111405989,0.1738320039345355,0.0012933423120468177,0.0012933423120468177,0.00566035978026959,0.02144232008930323,0.09568445734166267,0.14644492780709428,0.0015636257713625946,0.0015636257713625946,0.009644366275365409,0.02534118362541061,0.10350260141451156,0.1738319519840344,0.001305418598277745,0.001305418598277745,0.005672889548264495,0.02143112716892685,0.12302845022274159,0.1854819911052185,0.0013122967695308981,0.0013122967695308981,0.005672017770535934,0.021431993738082678,0.12693550268996864,0.19331277506829386,0.001312310350156276,0.001312310350156276,0.00567201073922528,0.021432003973327746,0.1269355850513198,0.1933130005753061
725096.0,725096.0,235,2019,7692.0,27.390756607055664,-32.66162109375,Extreme,2019-08-23,15,2019-08-02,2019-08-29,28,LC08_169083_20190803,0.3559596778186275,0.002910618952084728,0.0009769248465924978,0.012660059390903174,0.09478389210519464,0.2628238035564627,0.34268630517772897,0.0029068594023691392,0.0007996123474493035,0.008715262179069733,0.0986784580103927,0.2528082151103361,0.319369744034292,0.0029042874034151877,0.0009902290514599678,0.012666505120098898,0.09669151499745682,0.2628435995944674,0.34268630517772897,0.0028909549230985536,0.0007818561608235954,0.010671052800138945,0.1279683597086514,0.28041763387636476,0.33684151165925846,0.0028951650291029894,0.0007888431246565571,0.010666241919956665,0.13181894171471262,0.2803566162019619,0.3369344333197929,0.002895173136921751,0.0007888429554471161,0.010666241919956665,0.13181894171471262,0.2803566162019619,0.3369344333197929
73998.0,73998.0,241,2019,7692.0,27.53897857666016,-32.70204544067383,Extreme,2019-08-29,19,2019-08-25,2019-08-29,5,LC08_170082_20190826,40.11645425268063,0.0028616731693122573,0.0008520560089163827,0.00875073153917724,0.026352856692373423,0.1083856124650603,0.22558816550025296,0.0007627368618802918,0.0007627368618802918,0.0028733660720887586,0.008727754441865482,0.09471081738065056,0.18457789876654188,0.0028626817728938485,0.0008533842730423898,0.008750903207096768,0.026354057767535504,0.10838757563286638,0.22558811133965695,0.001070242333460235,0.001070242333460235,0.001070242333460235,0.0055275687592908716,0.12304369202685884,0.1816316406637584,0.001072911553088739,0.001072911553088739,0.001072911553088739,0.005532735283380927,0.12303572642465081,0.17769822877366576,0.0010729208714273192,0.0010729208714273192,0.0010729208714273192,0.005532749398395226,0.1230356353493084,0.17769819623196087
571251.0,571251.0,214,2019,7692.0,28.47322654724121,-32.34272003173828,Extreme,2019-08-02,20,2019-08-02,2019-08-05,4,LC08_169082_20190803,67.99180120830269,0.002029402035672064,0.002029402035672064,0.009498655501326343,0.06051844295680304,0.22068938247509548,0.33005909805084027,0.0028418128827548874,0.0011831200489594788,0.010697229243625803,0.06933560205833118,0.19628207687337798,0.29199378551224237,0.002030791827873902,0.002030791827873902,0.009504045039299473,0.0605221269883926,0.22068931267268793,0.3300599158432613,0.0020903588871141496,0.0020903588871141496,0.013521864339002909,0.08398396064548522,0.24023211063537647,0.3144376310396085,0.002094875396270449,0.002094875396270449,0.013522406859986166,0.0839841900006312,0.24413416277506794,0.3183479903284246,0.002094881710638389,0.002094881710638389,0.01352243230997391,0.0839842100504188,0.24413418255413882,0.31834813703045545
125357.0,125357.0,233,2019,2903.0,25.495309829711918,-32.311279296875,Medium,2019-08-21,23,2019-08-16,2019-08-26,11,LC08_171082_20190817,8.85027185156251,0.0008494914658869514,0.0008494914658869514,0.002814436183134405,0.012672853128897555,0.03415268052021558,0.0556306310362252,0.0007107240191403672,0.0007107240191403672,0.0007107240191403672,0.002786634704206988,0.014605935924710798,0.03220179045436402,0.0008520594707109063,0.0008520594707109063,0.002815564027912326,0.012673592786982192,0.03611492227584228,0.0575949485117312,0.0006324925513934807,0.0006324925513934807,0.0006324925513934807,0.0027615679803186313,0.014617212574015263,0.03219027640560109,0.0006358090995597424,0.0006358090995597424,0.0006358090995597424,0.0027627260492055494,0.01461718170869378,0.03219090406250269,0.0006358101771686644,0.0006358101771686644,0.0006358101771686644,0.0027627280109847885,0.014617173331700213,0.03219082817868837
438894.0,438894.0,228,2019,7692.0,28.881959915161133,-31.9047908782959,Extreme,2019-08-16,32,2019-08-14,2019-08-22,9,LC08_169082_20190819,156.59426815724595,0.0010321802167680466,0.0010321802167680466,0.0048109158302637916,0.012661228533293335,0.0693275691394799,0.1572241256731011,0.0010237901887003944,0.0010237901887003944,0.0028052275394070594,0.006728827396374533,0.0810450070088442,0.1572226459418447,0.0010299179535459004,0.0010299179535459004,0.004813290733009311,0.012659961149731447,0.06933049803179374,0.15722268337041242,0.0009427717558690329,0.0009427717558690329,0.002762359015549079,0.008715655923116622,0.11620575950706101,0.20020905199225672,0.0009455721014407974,0.0009455721014407974,0.0027623844084740403,0.008715899172077636,0.12205292012353026,0.2255870392511002,0.0009455679197850799,0.0009455679197850799,0.002762383836993758,0.008715964509283783,0.12205286266849692,0.2255870392511002
