step	Train loss
0	0.4438562870025635
1	0.1817009061574936
2	0.15561438985168935
3	0.13716277480125424
4	0.15773370973765852
5	0.1414411894977093
6	0.1314688567072153
7	0.12884209007024766
8	0.1433075252920389
9	0.1416255321353674
10	0.1449490811675787
11	0.14621169529855252
12	0.11525376811623574
13	0.13315459862351417
14	0.13036011010408402
