temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
5.724887973734975e-05,5.724887973734975e-05,5.724887973734975e-05,5.724887973734975e-05,0.0003352760328911,"['1_LC08_173081_20190409', '1_LC08_173081_20190324', '1_LC08_173081_20190308', '1_LC08_173081_20190220', '2_LC08_173081_20190425']",0
7.850323660964539e-05,7.850323660964539e-05,7.850323660964539e-05,0.0005984604674762,0.0018247562443793,"['1_LC08_175083_20190322', '1_LC08_175083_20190306', '1_LC08_175083_20190218', '1_LC08_175083_20190202', '2_LC08_175083_20190407']",0
0.0003606063296929,0.0001268951433929,0.0006021738650519,0.001584163380674,0.0042681329450971,"['1_LC08_169080_20190413', '1_LC08_169080_20190328', '1_LC08_169080_20190224', '1_LC08_169080_20190208', '2_LC08_169080_20190429']",0
0.0001110863488191,0.0001110863488191,0.0003512511111753,0.0005993323130738,0.0013310701097236,"['1_LC08_172077_20190402', '1_LC08_172077_20190317', '1_LC08_172077_20190301', '1_LC08_172077_20190213', '2_LC08_172077_20190418']",0
0.0004254717727888,0.0001879392270886,0.0007924740689199,0.001401245648271,0.0023792554586691,"['1_LC08_171081_20190614', '1_LC08_171081_20190529', '1_LC08_171081_20190513', '1_LC08_171081_20190427', '2_LC08_171081_20190630']",0
0.0014037223632046,0.0006725895055488,0.0022588198582142,0.0035995614440008,0.0064106233783492,"['1_LC08_170075_20190303', '1_LC08_170075_20190130', '1_LC08_170075_20190114', '1_LC08_170075_20181213', '2_LC08_170075_20190319']",0
4.478518466733736e-05,1.7447491107580517e-05,7.539547662425386e-05,0.0001364676633749,0.000258289050127,"['1_LC08_174079_20190619', '1_LC08_174079_20190603', '1_LC08_174079_20190518', '1_LC08_174079_20190502', '2_LC08_174079_20190705']",0
0.0001859748045726,7.427937224783802e-05,0.0004251083186266,0.0006675410423514,0.0011569853070669,"['1_LC08_172077_20190605', '1_LC08_172077_20190520', '1_LC08_172077_20190504', '1_LC08_172077_20190418', '2_LC08_172077_20190621']",0
7.508055420211639e-05,7.508055420211639e-05,7.508055420211639e-05,0.000351450350044,0.0015789782628406,"['1_LC08_175083_20190306', '1_LC08_175083_20190218', '1_LC08_175083_20190202', '1_LC08_175083_20190117', '2_LC08_175083_20190322']",1
1.749629564735935e-05,1.749629564735935e-05,1.749629564735935e-05,1.749629564735935e-05,1.749629564735935e-05,"['1_LC08_176078_20190617', '1_LC08_176078_20190601', '1_LC08_176078_20190516', '1_LC08_176078_20190430', '2_LC08_176078_20190703']",0
