temporal_variance_p25,temporal_variance_p5,temporal_variance_p50,temporal_variance_p75,temporal_variance_p95,scenes,label
0.000913884015665,0.000182478897025,0.0026243115958577,0.0050635224383179,0.009952779784273,"['1_LC08_170076_20181213', '1_LC08_170076_20181127', '1_LC08_170076_20181111', '1_LC08_170076_20181026', '2_LC08_170076_20190114']",1
6.108207133883666e-05,6.108207133883666e-05,6.108207133883666e-05,0.0001693645818323,0.0006676624637005,"['1_LC08_170077_20190911', '1_LC08_170077_20190826', '1_LC08_170077_20190810', '1_LC08_170077_20190725', '2_LC08_170077_20190927']",1
0.0001119097961148,0.0001119097961148,0.0003533294835798,0.0008457570775955,0.0020689006762071,"['1_LC08_175077_20190407', '1_LC08_175077_20190322', '1_LC08_175077_20190306', '1_LC08_175077_20190218', '2_LC08_175077_20190423']",0
3.7154363860605725e-05,3.7154363860605725e-05,3.7154363860605725e-05,3.7154363860605725e-05,0.0006687622060998,"['1_LC08_173082_20190628', '1_LC08_173082_20190612', '1_LC08_173082_20190527', '1_LC08_173082_20190511', '2_LC08_173082_20190714']",0
0.000176470057989,7.730808158492775e-05,0.000176470057989,0.0004223764294978,0.0014039011528565,"['1_LC08_169078_20190904', '1_LC08_169078_20190819', '1_LC08_169078_20190803', '1_LC08_169078_20190718', '2_LC08_169078_20190920']",1
0.0001513648674058,3.812605673035053e-05,0.0002734678931476,0.0005177544071013,0.0014353232548721,"['1_LC08_169077_20190920', '1_LC08_169077_20190904', '1_LC08_169077_20190819', '1_LC08_169077_20190803', '2_LC08_169077_20191006']",1
3.0771863105010525e-05,3.0771863105010525e-05,3.0771863105010525e-05,0.0003515685396854,0.0030540893691501,"['1_LC08_167079_20190109', '1_LC08_167079_20181208', '1_LC08_167079_20181122', '1_LC08_167079_20181106', '2_LC08_167079_20190125']",0
7.615544577127911e-05,7.615544577127911e-05,7.615544577127911e-05,0.0005993132036336,0.0023184485193616,"['1_LC08_170083_20190506', '1_LC08_170083_20190420', '1_LC08_170083_20190404', '1_LC08_170083_20190319', '2_LC08_170083_20190522']",1
0.0001824468120917,5.910712340270216e-05,0.0004242675007418,0.0009135089939165,0.0022583126237098,"['1_LC08_171081_20190411', '1_LC08_171081_20190326', '1_LC08_171081_20190310', '1_LC08_171081_20190222', '2_LC08_171081_20190427']",0
0.0003594749595602,0.0001299680236291,0.0006026269497563,0.001335745409628,0.0042689905693794,"['1_LC08_171078_20190427', '1_LC08_171078_20190411', '1_LC08_171078_20190326', '1_LC08_171078_20190310', '2_LC08_171078_20190513']",1
